context,nb_name,hostname,epoch,basename,nworkers,ngroup_visibity,ngroup_components,time_range,npixel,pb_npixel,flux_limit,pbtype,surface_scaling,snapshot,offset_dir,opposite,tsys,declination,use_radec,use_natural,integration_time,seed,ntotal,se,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral,psf_maxabs,psf_rms,psf_medianabs,elapsed_time,processing_rate
s3sky,../../../surface_simulation_elevation.py,openhpc-compute-0.novalocal,09/09/2019 9:49,p15,32,2880,100,-6.0 6.0,512,1024,0.003,MID_FEKO_B1,0,FALSE,1.0 0.0,FALSE,0,15,FALSE,FALSE,30,18051955,1186199252,0,4.18E-05,7.97E-06,5.31E-06,3.09E-06,0.999113859,0.004818352,0.001427406,1883.330931,19682.52692
s3sky,../../../surface_simulation_elevation.py,openhpc-compute-0.novalocal,09/09/2019 10:26,0,32,2880,100,-6.0 6.0,512,1024,0.003,MID_FEKO_B1,0,FALSE,1.0 0.0,FALSE,0,0,FALSE,FALSE,30,18051955,1387290548,0,2.05E-05,3.41E-06,2.26E-06,2.59E-06,0.999211821,0.004966319,0.000468734,2219.034996,19536.78838
s3sky,../../../surface_simulation_elevation.py,openhpc-compute-0.novalocal,09/09/2019 11:09,m15,32,2880,100,-6.0 6.0,512,1024,0.003,MID_FEKO_B1,0,FALSE,1.0 0.0,FALSE,0,-15,FALSE,FALSE,30,18051955,1554866628,0,2.29E-05,4.64E-06,3.13E-06,5.03E-07,0.999121002,0.004751774,0.001291227,2470.247359,19669.91985
s3sky,../../../surface_simulation_elevation.py,openhpc-compute-0.novalocal,09/09/2019 11:57,m30,32,2880,100,-6.0 6.0,512,1024,0.003,MID_FEKO_B1,0,FALSE,1.0 0.0,FALSE,0,-30,FALSE,FALSE,30,18051955,1717654820,0,2.38E-05,5.07E-06,3.42E-06,1.09E-05,0.999117659,0.004498374,0.001336625,2756.514261,19472.67253
s3sky,../../../surface_simulation_elevation.py,openhpc-compute-0.novalocal,09/09/2019 12:50,m45,32,2880,100,-6.0 6.0,512,1024,0.003,MID_FEKO_B1,0,FALSE,1.0 0.0,FALSE,0,-45,FALSE,FALSE,30,18051955,1723639680,0,1.72E-05,3.41E-06,2.30E-06,2.06E-06,0.999130392,0.00427848,0.001281282,2742.708432,19638.88173
s3sky,../../../surface_simulation_elevation.py,openhpc-compute-0.novalocal,09/09/2019 13:42,m60,32,2880,100,-6.0 6.0,512,1024,0.003,MID_FEKO_B1,0,FALSE,1.0 0.0,FALSE,0,-60,FALSE,FALSE,30,18051955,1723639680,0,9.52E-06,1.85E-06,1.24E-06,1.68E-07,0.999134393,0.004193958,0.001241858,2782.333353,19359.19285
s3sky,../../../surface_simulation_elevation.py,openhpc-compute-0.novalocal,09/09/2019 15:54,m75,32,2880,100,-6.0 6.0,512,1024,0.003,MID_FEKO_B1,0,FALSE,1.0 0.0,FALSE,0,-75,FALSE,FALSE,30,18051955,1723639680,0,8.77E-06,1.54E-06,1.03E-06,7.45E-07,0.999135068,0.004573749,0.001353712,1425.46416,37786.78796
s3sky,../../../surface_simulation_elevation.py,openhpc-compute-0.novalocal,09/09/2019 15:07,p15,32,2880,100,-0.05 0.05,512,1024,0.003,MID_FEKO_B1,0,FALSE,1.0 0.0,FALSE,0,15,FALSE,FALSE,30,18051955,14363664,0,8.83E-06,1.73E-06,1.14E-06,1.39E-06,0.999028879,0.017798437,0.008332956,33.3237803,13469.52597
s3sky,../../../surface_simulation_elevation.py,openhpc-compute-0.novalocal,09/09/2019 15:09,0,32,2880,100,-0.05 0.05,512,1024,0.003,MID_FEKO_B1,0,FALSE,1.0 0.0,FALSE,0,0,FALSE,FALSE,30,18051955,14363664,0,8.89E-05,1.16E-05,7.01E-06,9.62E-06,0.999091561,0.017404379,0.008117361,33.9293313,13229.1386
s3sky,../../../surface_simulation_elevation.py,openhpc-compute-0.novalocal,09/09/2019 15:12,m15,32,2880,100,-0.05 0.05,512,1024,0.003,MID_FEKO_B1,0,FALSE,1.0 0.0,FALSE,0,-15,FALSE,FALSE,30,18051955,14363664,0,0.000118982,1.98E-05,1.30E-05,6.06E-07,0.999016256,0.016839354,0.008024385,27.1712923,16519.39154
s3sky,../../../surface_simulation_elevation.py,openhpc-compute-0.novalocal,09/09/2019 15:15,m30,228,2880,100,-0.05 0.05,512,1024,0.003,MID_FEKO_B1,0,FALSE,1.0 0.0,FALSE,0,-30,FALSE,FALSE,30,18051955,14363664,0,0.000447505,7.23E-05,4.78E-05,0.000121762,0.998993313,0.016258841,0.007803824,21.42890048,2939.785179
s3sky,../../../surface_simulation_elevation.py,openhpc-compute-0.novalocal,09/09/2019 15:17,m45,320,2880,100,-0.05 0.05,512,1024,0.003,MID_FEKO_B1,0,FALSE,1.0 0.0,FALSE,0,-45,FALSE,FALSE,30,18051955,14363664,0,0.000123652,2.40E-05,1.60E-05,2.10E-05,0.999022924,0.015777523,0.007540598,19.91677928,2253.611769
